Region,Location,Collection,Ind
Kuskokwim River,Tonzona River,EKUS1303,EKUS1303.302
Kuskokwim River,Tonzona River,EKUS1303,EKUS1303.303
Kuskokwim River,Tonzona River,EKUS1303,EKUS1303.304
Kuskokwim River,Tonzona River,EKUS1303,EKUS1303.305
Kuskokwim River,Tonzona River,EKUS1303,EKUS1303.306
Kuskokwim River,Tonzona River,EKUS1303,EKUS1303.307
Kuskokwim River,Tonzona River,EKUS1303,EKUS1303.308
Kuskokwim River,Tonzona River,EKUS1303,EKUS1303.309
Kuskokwim River,Tonzona River,EKUS1303,EKUS1303.311
Kuskokwim River,Tonzona River,EKUS1303,EKUS1303.312
Kuskokwim River,Tonzona River,EKUS1303,EKUS1303.313
Kuskokwim River,Tonzona River,EKUS1303,EKUS1303.314
Kuskokwim River,Tonzona River,EKUS1303,EKUS1303.315
Kuskokwim River,Tonzona River,EKUS1303,EKUS1303.316
Kuskokwim River,Tonzona River,EKUS1303,EKUS1303.317
Kuskokwim River,Tonzona River,EKUS1303,EKUS1303.318
Kuskokwim River,Tonzona River,EKUS1303,EKUS1303.319
Kuskokwim River,Tonzona River,EKUS1303,EKUS1303.320
Kuskokwim River,Big River,EKUS1403,EKUS1403.234
Kuskokwim River,Big River,EKUS1403,EKUS1403.321
Kuskokwim River,Tonzona River,EKUS1403,EKUS1403.324
Kuskokwim River,Middle Fork,EKUS1403,EKUS1403.325
Kuskokwim River,Big River,EKUS1403,EKUS1403.327
Kuskokwim River,Big River,EKUS1403,EKUS1403.328
Kuskokwim River,Big River,EKUS1403,EKUS1403.329
Kuskokwim River,Big River,EKUS1403,EKUS1403.331
Kuskokwim River,Big River,EKUS1403,EKUS1403.332
Kuskokwim River,Middle Fork,EKUS1403,EKUS1403.333
Kuskokwim River,Middle Fork,EKUS1403,EKUS1403.334
Kuskokwim River,Middle Fork,EKUS1403,EKUS1403.335
Kuskokwim River,Big River,EKUS1403,EKUS1403.337
